Variable:,location_id,location_name,iso3,level,year,the_total_mean,the_total_lower,the_total_upper,the_total_ppp_mean,the_total_ppp_lower,the_total_ppp_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper,ghes_total_ppp_mean,ghes_total_ppp_lower,ghes_total_ppp_upper,ppp_total_mean,ppp_total_lower,ppp_total_upper,ppp_total_ppp_mean,ppp_total_ppp_lower,ppp_total_ppp_upper,oop_total_mean,oop_total_lower,oop_total_upper,oop_total_ppp_mean,oop_total_ppp_lower,oop_total_ppp_upper,dah_total_mean,dah_total_ppp_mean,the_per_cap_mean,the_per_cap_lower,the_per_cap_upper,the_per_cap_ppp_mean,the_per_cap_ppp_lower,the_per_cap_ppp_upper,ghes_per_cap_mean,ghes_per_cap_lower,ghes_per_cap_upper,ghes_per_cap_ppp_mean,ghes_per_cap_ppp_lower,ghes_per_cap_ppp_upper,ppp_per_cap_mean,ppp_per_cap_lower,ppp_per_cap_upper,ppp_per_cap_ppp_mean,ppp_per_cap_ppp_lower,ppp_per_cap_ppp_upper,oop_per_cap_mean,oop_per_cap_lower,oop_per_cap_upper,oop_per_cap_ppp_mean,oop_per_cap_ppp_lower,oop_per_cap_ppp_upper,dah_per_cap_mean,dah_per_cap_ppp_mean,ghes_per_the_mean,ghes_per_the_lower,ghes_per_the_upper,ppp_per_the_mean,ppp_per_the_lower,ppp_per_the_upper,oop_per_the_mean,oop_per_the_lower,oop_per_the_upper,dah_per_the_mean,dah_per_the_lower,dah_per_the_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper,ghes_per_gdp_mean,ghes_per_gdp_lower,ghes_per_gdp_upper,ppp_per_gdp_mean,ppp_per_gdp_lower,ppp_per_gdp_upper,oop_per_gdp_mean,oop_per_gdp_lower,oop_per_gdp_upper,dah_per_gdp_mean,dah_per_gdp_lower,dah_per_gdp_upper
Label:,Location ID,Location Name,ISO 3-digit Code,Location Category,Year,Total Health Spending (thousands of 2024 USD),"Total Health Spending, Lower UI (thousands of 2024 USD)","Total Health Spending, Upper UI (thousands of 2024 USD)",Total Health Spending (thousands of 2024 PPP),"Total Health Spending, Lower UI (thousands of 2024 PPP)","Total Health Spending, Upper UI (thousands of 2024 PPP)",Government Health Spending (thousands of 2024 USD),"Government Health Spending, Lower UI (thousands of 2024 USD)","Government Health Spending, Upper UI (thousands of 2024 USD)",Government Health Spending (thousands of 2024 PPP),"Government Health Spending, Lower UI (thousands of 2024 PPP)","Government Health Spending, Upper UI (thousands of 2024 PPP)",Prepaid private Health Spending (thousands of 2024 USD),"Prepaid private Health Spending, Lower UI (thousands of 2024 USD)","Prepaid private Health Spending, Upper UI (thousands of 2024 USD)",Prepaid private Health Spending (thousands of 2024 PPP),"Prepaid private Health Spending, Lower UI (thousands of 2024 PPP)","Prepaid private Health Spending, Upper UI (thousands of 2024 PPP)",Out-of-pocket Health Spending (thousands of 2024 USD),"Out-of-pocket Health Spending, Lower UI (thousands of 2024 USD)","Out-of-pocket Health Spending, Upper UI (thousands of 2024 USD)",Out-of-pocket Health Spending (thousands of 2024 PPP),"Out-of-pocket Health Spending, Lower UI (thousands of 2024 PPP)","Out-of-pocket Health Spending, Upper UI (thousands of 2024 PPP)",Development Assisstance for Health (thousands of 2024 USD),Development Assisstance for Health (thousands of 2024 PPP),Total Health Spending per person (2024 USD),"Total Health Spending per person, Lower UI (2024 USD)","Total Health Spending per person, Upper UI (2024 USD)",Total Health Spending per person (2024 PPP),"Total Health Spending per person, Lower UI (2024 PPP)","Total Health Spending per person, Upper UI (2024 PPP)",Government Health Spending per person (2024 USD),"Government Health Spending per person, Lower UI (2024 USD)","Government Health Spending per person, Upper UI (2024 USD)",Government Health Spending per person (2024 PPP),"Government Health Spending per person, Lower UI (2024 PPP)","Government Health Spending per person, Upper UI (2024 PPP)",Prepaid private Health Spending per person (2024 USD),"Prepaid private Health Spending per person, Lower UI (2024 USD)","Prepaid private Health Spending per person, Upper UI (2024 USD)",Prepaid private Health Spending per person (2024 PPP),"Prepaid private Health Spending per person, Lower UI (2024 PPP)","Prepaid private Health Spending per person, Upper UI (2024 PPP)",Out-of-pocket Health Spending per person (2024 USD),"Out-of-pocket Health Spending per person, Lower UI (2024 USD)","Out-of-pocket Health Spending per person, Upper UI (2024 USD)",Out-of-pocket Health Spending per person (2024 PPP),"Out-of-pocket Health Spending per person, Lower UI (2024 PPP)","Out-of-pocket Health Spending per person, Upper UI (2024 PPP)",Development Assisstance for Health per person (2024 USD),Development Assisstance for Health per person (2024 PPP),Government Health Spending per Total Health Spending,"Government Health Spending per Total Health Spending, Lower UI","Government Health Spending per Total Health Spending, Upper UI",Prepaid private Health Spending per Total Health Spending,"Prepaid private Health Spending per Total Health Spending, Lower UI","Prepaid private Health Spending per Total Health Spending, Upper UI",Out-of-pocket Health Spending per Total Health Spending,"Out-of-pocket Health Spending per Total Health Spending, Lower UI","Out-of-pocket Health Spending per Total Health Spending, Upper UI",Development Assisstance for Health per Total Health Spending,"Development Assisstance for Health per Total Health Spending, Lower UI","Development Assisstance for Health per Total Health Spending, Upper UI",Total Health Spending per Gross Domestic Product,"Total Health Spending per Gross Domestic Product, Lower UI","Total Health Spending per Gross Domestic Product, Upper UI",Government Health Spending per Gross Domestic Product,"Government Health Spending per Gross Domestic Product, Lower UI","Government Health Spending per Gross Domestic Product, Upper UI",Prepaid private Health Spending per Gross Domestic Product,"Prepaid private Health Spending per Gross Domestic Product, Lower UI","Prepaid private Health Spending per Gross Domestic Product, Upper UI",Out-of-pocket Health Spending per Gross Domestic Product,"Out-of-pocket Health Spending per Gross Domestic Product, Lower UI","Out-of-pocket Health Spending per Gross Domestic Product, Upper UI",Development Assisstance for Health per Gross Domestic Product,"Development Assisstance for Health per Gross Domestic Product, Lower UI","Development Assisstance for Health per Gross Domestic Product, Upper UI"
Value Coding:,1,Global,G,Global,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44575,High income,,World Bank Income Groups,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44578,Low income,S2,GBD Super Regions,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44577,Lower-middle income,S1,Country,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44576,Upper-middle income,S7,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,"Central Europe, Eastern Europe, and Central Asia",S4,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,High-income,S5,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,Latin America and Caribbean,S6,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,North Africa and Middle East,S3,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,South Asia,AFG,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Southeast Asia, East Asia, and Oceania",ALB,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,Sub-Saharan Africa,DZA,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,Afghanistan,ASM,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,Albania,AND,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
