"code","location","term","estimate","std.error","statistic","p.value","conf.low","conf.high","n_obs"
"HRV","Croatia","ext_pc_lag",-891.427051520319,912.781233314491,-0.97660536718461,0.366480737181756,-3124.92226882027,1342.06816577963,8
"GBR","United Kingdom of Great Britain and Northern Ireland","ext_pc_lag",-682.667502979619,605.799627460892,-1.12688663385434,0.27312985695197,-1946.34338223032,581.008376271081,22
"PRT","Portugal","ext_pc_lag",-44.9456758842505,50.6548626382284,-0.88729242452492,0.385467570725748,-150.609867773868,60.7185160053673,22
"DZA","Algeria","ext_pc_lag",-34.6109259237512,20.4152882581109,-1.69534348406766,0.105523832146127,-77.1964709955665,7.97461914806403,22
"BRA","Brazil","ext_pc_lag",-16.8334487565501,13.5410410993066,-1.24314287454692,0.228191776095986,-45.0795655276285,11.4126680145284,22
"CYP","Cyprus","ext_pc_lag",-13.2265003468777,6.47434933179437,-2.04290804667037,0.0544641106198791,-26.7317563978309,0.278755704075559,22
"LBY","Libya","ext_pc_lag",-13.2098398855586,12.388600039596,-1.06628996362283,0.29899601057824,-39.0520067309523,12.632326959835,22
"THA","Thailand","ext_pc_lag",-13.0880933641071,10.9243488531916,-1.1980662225267,0.244896744725608,-35.8758857570454,9.69969902883125,22
"ECU","Ecuador","ext_pc_lag",-11.3755924285748,5.99562755396114,-1.89731472246959,0.0723197859536583,-23.8822523495578,1.1310674924082,22
"BLR","Belarus","ext_pc_lag",-10.5749762357345,10.9237033087985,-0.96807611272424,0.344568331783834,-33.3614220466654,12.2114695751963,22
"IDN","Indonesia","ext_pc_lag",-8.97068106836633,2.22635299616401,-4.02931659257214,0.000656911848631362,-13.6147720390753,-4.32659009765738,22
"GRC","Greece","ext_pc_lag",-8.2673248351838,5.20624099024214,-1.58796430105309,0.130718400108709,-19.251533178351,2.71688350798341,19
"POL","Poland","ext_pc_lag",-8.09623884872356,43.1539701561281,-0.187612838851951,0.854932287432608,-104.249276371049,88.0567986736016,12
"UKR","Ukraine","ext_pc_lag",-5.31884820101717,4.27546425423965,-1.24403991817798,0.229442198635085,-14.301265285012,3.66356888297763,20
"LVA","Latvia","ext_pc_lag",-5.17337242920565,52.0776122881699,-0.0993396625133071,0.922831805562905,-121.209523687155,110.862778828743,12
"AGO","Angola","ext_pc_lag",-2.97360557594321,2.1913703467498,-1.35696167485044,0.189912095205584,-7.54472401868561,1.5975128667992,22
"AZE","Azerbaijan","ext_pc_lag",-2.62908446812346,3.3179974689226,-0.792370848003436,0.437442975396041,-9.55030590641667,4.29213697016975,22
"BWA","Botswana","ext_pc_lag",-2.56650947444361,0.823817139724411,-3.11538732406341,0.00545120854255361,-4.28496191513984,-0.848057033747369,22
"PRY","Paraguay","ext_pc_lag",-2.40954508181131,5.08360842378416,-0.47398321840408,0.640645337243105,-13.0137664340379,8.19467627041529,22
"EST","Estonia","ext_pc_lag",-2.32703694714887,4.97338350406845,-0.467898151277746,0.645799930638943,-12.8199589385717,8.16588504427398,19
"LBN","Lebanon","ext_pc_lag",-2.21261764650366,0.753518799546403,-2.93638015114632,0.00816236175968671,-3.78443031918511,-0.640804973822206,22
"MKD","North Macedonia","ext_pc_lag",-2.08219882988147,1.76830451977475,-1.1775114560849,0.255214144397773,-5.8129952520553,1.64859759229236,19
"ROU","Romania","ext_pc_lag",-1.88079441265071,2.23904362948321,-0.839999001307901,0.414097761555847,-6.6532029392012,2.89161411389978,17
"PHL","Philippines","ext_pc_lag",-1.63238336390538,0.566109484783688,-2.88351177251362,0.00918572261363328,-2.81326705631467,-0.451499671496098,22
"LKA","Sri Lanka","ext_pc_lag",-1.46309836557346,0.757501992934956,-1.9314779092589,0.0677189860081618,-3.04321983406682,0.117023102919907,22
"IND","India","ext_pc_lag",-1.27211923046482,2.73454552302324,-0.465203164384843,0.64681137014191,-6.97628123637581,4.43204277544618,22
"MAR","Morocco","ext_pc_lag",-1.12471610967281,0.559456956773025,-2.0103711215966,0.058071556636623,-2.29172287181994,0.0422906524743223,22
"TUN","Tunisia","ext_pc_lag",-1.11880922787276,2.00186367908136,-0.558883823890631,0.582445412588938,-5.29462368884563,3.05700523310012,22
"SYR","Syrian Arab Republic","ext_pc_lag",-1.08264888481791,1.07981275836877,-1.00262649836942,0.328018258368419,-3.33509882866651,1.16980105903068,22
"MNG","Mongolia","ext_pc_lag",-0.931528477968258,0.322081716389224,-2.89221160521431,0.0093370702223452,-1.60565325785602,-0.257403698080498,21
"COK","Cook Islands","ext_pc_lag",-0.902698000526442,0.514962020697006,-1.75294092427366,0.0949283568305781,-1.97688995243056,0.171493951377681,22
"NIU","Niue","ext_pc_lag",-0.836110067939959,0.257353618799281,-3.24887628097459,0.00402097991898739,-1.37294030977685,-0.299279826103066,22
